"ca.","circa"
"dr.","doktor"
"kwart.","kwartal"
"kw.","kwartal"
"měs.","měsac"
"tydź.","tydźeń"
"hodź.","hodźina"
"min.","mjeńšin"
"sek.","sekundow"
"př.Chr.n.","před Chrystowym narodźenjom"
"př.n.l.č.","před našim ličenjom časa"
"po Chr.n.","po Chrystowym narodźenju"
"n.l.č.","našeho ličenja časa"
"jan.","januar"
"feb.","februar"
"měr.","měrc"
"apr.","apryl"
"mej.","meja"
"jun.","junij"
"jul.","julij"
"awg.","awgust"
"sep.","september"
"okt.","oktober"
"now.","nowember"
"dec.","december"
"dop.","dopołdnja"
"přip.","připołdnju"
"pop.","popołdnju"
"nje.","njedźela"
"pón.","póndźela"
"wut.","wutora"
"srj.","srjeda"
"štw.","štwórtk"
"pja.","pjatk"
"sob.","sobota"
"nj.","njedźela"
"pó.","póndźela"
"wu.","wutora"
"sr.","srjeda"
"št.","štwórtk"
"pj.","pjatk"
"tys.","tysac"
"mil.","milionow"
"mrd.","miliardow"
"bil.","bilionow"
"mio.","milionow"
"PLN","pólskich złotych"
"zł","pólskich złotych"
"Kč","čěskich krónow"
"EUR","eurow"
"DKK","danskich krónow"
"DM","hriwnow"
"CHF","šwicarskich frankow"
"CZK","čěskich krónow"
"HUF","madźarskich forintow"
"PLZ","pej el cet"
"RUB","ruskich rublow"
"CNY","chinskich yuanow"
"CN¥","chinskich yuanow"
"JPY","japanskich yenow"
"AUD","awstralskich dolarow"
"NZ$","nowoseelandskich dolarow"
"dn.","dnjow"
"dn.","dnjow"
"cm","centimetrow"
"dm","decimetrow"
"ft","stopow"
"km","kilometrow"
"m","metrow"
"μm","mikrometrow"
"mm","milimetrow"
"nm","nanometrow"
"nmi","nawtiskich milow"
"cm²"," kwadratnych centimetrow"
"ft²","kwadratnych stopow"
"in²","kwadratnych cólow"
"km²","kwadratnych kilometrow"
"m²","kwadratnych metrow"
"mi²","kwadratnych milow"
"yd²","kwadratnych yardow"
"cm³","kubiknych centimetrow"
"ft³","kubiknych stopow"
"in³","kubiknych cólow"
"km³","kubiknych kilometrow"
"m³","kubiknych metrow"
"mi³","kubiknych milow"
"yd³","kubiknych yardow"
"fl. oz.","běžitych uncow"
"łž.","łžicow"
"łžk.","łžičkow"
"m/s²","metrow na kwadratnu sekundu"
"km/h","kilometrow na hodźinu"
"m/s","metrow na sekundu"
"mph","milow na hodźinu"
"kg","kilogramow"
"µg","mikrogramow"
"mg","miligramow"
"oz","uncow"
"oz. tr.","trojskich uncow"
"lb","puntow"
"cal","kalorijow"
"kcal","kilokalorijow"
"kJ","kilodźulow"
"kWh","kilowattowych hodźin"
"GW","gigawattow"
"PS","konjacych mocow"
"kW","kilowattow"
"MW","megawattow"
"mW","miliwattow"
"mA","milliamperow"
"Ω","ohmow"
"GHz","gigahertzow"
"Hz","hertzow"
"kHz","kilohertzow"
"MHz","megahertzow"
"hPa","hektopascalow"
"inHg","cólow žiwoslěbroweho stołpika"
"mbar","milibarow"
"mm Hg","milimetrow žiwoslěbroweho stołpika"
"°C","stopnjow Celsiusa"
"°F","stopnjow Fahrenheita"
"bit","bitow"
"byte","byteow"
"Gb","gigabitow"
"GB","gigabyteow"
"kb","kilobitow"
"kB","kilobyteow"
"Mb","megabitow"
"MB","megabyteow"
"Tb","terabitow"
"TB","terabyteow"
"l/km","litrow na kilometer"
"mpg","milow na galonu"
