symbol,expansion
α,alfa
β,beta
Γ,gama
γ,gama
Δ,delta
δ,delta
ε,epsilon
ζ,zeta
η,eta
Θ,teta
θ,teta
ι,jota
κ,kapa
Λ,lambda
λ,lambda
μ,mü
Ξ,ksi
ξ,ksi
Π,pi
π,pi
ρ,ro
Σ,sigma
σ,sigma
τ,tau
υ,ypsilon
Φ,fi
φ,fi
χ,chi
Ψ,psi
ψ,psi
Ω,omega
ω,omega
Ϝ,digama
ϝ,digama
Ϛ,stigma
ϛ,stigma
Ͱ,heta
ͱ,heta
Ϻ,san
ϻ,san
Ϙ,kopa
ϙ,kopa
Ͳ,sampi
ͳ,sampi
Ϸ,šo
ϸ,šo
☺,mjezwočko
☻,čorne mjezwočko
♥,wutroba
♦,karo
♣,křiže
♠,pik
♂,muske
♀,žónske
♪,nota
♫,dwě noće
☼,słónčko
►,wothrawaj
◄,wróćo
‼,dwójny wuwołak
¶,nowy wotstawk
§,paragraf
↑,horje
↓,dele
→,naprawo
←,nalěwo
#,kósnik
€,eurow
$,dolarow
£,funtow
%,procentow
&,a
*,hwěžka
+,plus
<,mjeńše hač
=,runa so
>,wjetše hač
@,et
[,wotewrjena róžkata spinka
\,beksleš
],zawrjena  róžkata spinka
^,wyše
{,wotewrjena wuzhibowana spinka
|,padoruna smuha
},zawrjena wuzhibowana spinka
~,tilda
°,stopnjow
"°C",stopnjow Celsius
"°K",stopnjow Kelvin
"°F",stopnjow Fahrenheit
"° C",stopnjow Celsius
"° K",stopnjow Kelvin
"° F",stopnjow Fahrenheit
